Time,trustor,trustee,pkts_f,pkts_d,pdr,frds,coi
1,6,1,5,2,0.714285714,0,0
2,6,14,6,1,0.857142857,0,1
3,13,4,4,6,0.4,0,0
3,4,6,2,3,0.4,0,0
4,4,14,5,0,1,1,0
4,9,11,1,1,0.5,0,0
5,14,7,6,4,0.6,0,1
6,13,2,9,1,0.9,1,1
6,9,11,4,2,0.666666667,0,0
6,5,9,5,1,0.833333333,1,0
7,9,2,3,3,0.5,0,1
8,11,3,1,4,0.2,1,1
8,2,8,6,0,1,1,0
9,10,14,4,1,0.8,1,1
10,10,4,2,3,0.4,1,0
10,3,13,1,0,1,0,0
10,15,10,3,0,1,0,0
11,13,4,3,0,1,0,0
11,3,6,1,0,1,0,0
12,9,4,4,4,0.5,0,1
13,9,14,7,1,0.875,0,0
13,13,9,7,1,0.875,0,1
13,2,9,1,6,0.142857143,0,1
14,11,5,5,3,0.625,0,0
15,8,14,1,0,1,0,0
15,1,7,4,0,1,1,0
16,15,4,10,0,1,0,0
16,8,3,1,0,1,1,1
16,1,13,3,1,0.75,0,0
18,13,3,3,0,1,0,0
18,10,2,2,7,0.222222222,0,0
18,4,13,1,9,0.1,0,0
19,10,14,4,5,0.444444444,1,1
19,4,6,8,2,0.8,0,0
20,14,9,9,0,1,0,0
21,14,5,7,2,0.777777778,0,1
21,10,2,2,4,0.333333333,0,0
21,2,13,2,3,0.4,1,1
22,10,11,5,1,0.833333333,0,0
22,2,7,3,2,0.6,0,0
23,15,4,5,2,0.714285714,0,0
24,10,11,1,8,0.111111111,0,0
24,1,10,4,6,0.4,1,0
25,1,11,2,8,0.2,0,1
25,14,10,2,0,1,1,1
26,6,2,2,1,0.666666667,0,0
27,15,3,3,2,0.6,0,1
27,2,6,1,0,1,0,0
28,10,15,2,3,0.4,0,0
29,14,2,5,2,0.714285714,0,0
29,3,8,8,0,1,1,1
30,9,4,4,2,0.666666667,0,1
30,3,13,8,0,1,0,0
30,13,7,3,4,0.428571429,0,0
31,9,13,3,3,0.5,0,1
32,14,4,1,0,1,1,0
32,5,7,1,0,1,1,1
33,6,14,2,6,0.25,0,1
33,11,10,1,0,1,0,0
34,3,6,1,2,0.333333333,0,0
35,6,5,2,1,0.666666667,1,1
35,11,7,2,2,0.5,0,0
36,4,12,3,1,0.75,0,1
37,6,5,2,8,0.2,1,1
37,14,10,5,1,0.833333333,1,1
38,6,12,9,1,0.9,0,0
38,4,10,2,0,1,1,0
39,14,7,1,8,0.111111111,0,1
40,10,13,3,1,0.75,0,0
40,2,14,2,5,0.285714286,0,0
41,15,8,7,1,0.875,0,1
42,12,3,1,7,0.125,0,0
42,6,3,8,1,0.888888889,0,0
42,1,11,6,2,0.75,0,1
43,6,11,5,4,0.555555556,0,0
44,11,9,2,1,0.666666667,0,0
44,4,10,5,3,0.625,1,0
45,12,5,1,2,0.333333333,1,0
45,6,12,4,1,0.8,0,0
46,4,12,7,2,0.777777778,0,1
47,10,2,5,2,0.714285714,0,0
47,13,7,2,3,0.4,0,0
48,15,5,3,2,0.6,0,0
48,10,14,6,1,0.857142857,1,1
48,2,14,5,0,1,0,0
49,2,9,4,1,0.8,0,1
50,9,1,2,0,1,0,0
50,12,7,2,8,0.2,0,0
51,12,1,2,8,0.2,1,0
51,9,14,2,0,1,0,0
51,1,6,4,0,1,0,0
53,15,4,6,2,0.75,0,0
53,10,1,6,0,1,1,0
53,2,13,1,0,1,1,1
54,15,7,7,1,0.875,0,0
55,10,15,8,1,0.888888889,0,0
55,5,6,2,0,1,1,1
56,5,11,1,1,0.5,0,0
56,15,6,2,1,0.666666667,0,0
57,7,5,5,0,1,1,1
58,4,14,1,0,1,1,0
58,13,7,1,4,0.2,0,0
59,13,4,4,1,0.8,0,0
59,7,14,1,1,0.5,0,1
60,2,7,5,0,1,0,0
61,7,15,7,2,0.777777778,0,0
61,15,8,2,8,0.2,0,1
62,4,7,4,2,0.666666667,0,0
63,12,5,1,3,0.25,1,0
63,7,11,3,2,0.6,0,0
63,4,11,5,1,0.833333333,0,0
65,8,14,1,3,0.25,0,0
65,13,6,4,0,1,0,0
65,1,6,10,0,1,0,0
